extent,grain,cat,scope,pland,pd,lpi,ed,lsi,areamn,areaam,gyratemn,gyrateam,shapemn,shapeam,fracmn,fracam,ennmn,ennam,pladj,nlsi,np,te
Full,60,Full 60,A,10.8046,1.9339,0.4154,23.1777,35.9186,5.5869,37.9885,84.6207,273.8933,1.297,2.143,1.0492,1.1099,213.4646,178.5326,67.4619,0.3192,786,942000
Full,60,Full 60,A,20.0813,2.0643,4.7672,37.1463,42.1854,9.7277,526.4499,97.3786,1048.7621,1.3852,5.8139,1.0541,1.1855,177.2927,141.5238,71.9024,0.2762,839,1509720
Full,60,Full 60,A,8.4325,1.4172,0.8255,16.9256,29.5765,5.95,66.6396,89.3108,450.5222,1.2669,2.1513,1.0465,1.1002,276.6783,239.1851,69.5536,0.2972,576,687900
Full,60,Full 60,A,11.461,1.4074,2.0886,20.4229,30.5439,8.1434,193.1611,95.4056,712.1051,1.311,3.073,1.0497,1.1379,249.1055,188.8565,73.0891,0.2626,572,830040
Full,60,Full 60,A,27.8185,2.207,2.0904,46.1811,44.5014,12.6044,186.6665,113.2052,669.11,1.428,3.844,1.0554,1.1669,160.4987,130.8587,74.8488,0.2473,897,1876920
Full,60,Full 60,A,18.5782,1.6436,1.3136,31.3061,37.1276,11.3034,190.4282,102.0961,748.3984,1.3983,3.9167,1.0524,1.1743,183.7457,135.9628,74.3325,0.2515,668,1272360
Full,60,Full 60,A,28.6759,1.4246,6.0108,37.6925,35.8944,20.1289,764.7268,120.3946,1382.1831,1.4331,5.5291,1.0549,1.1992,181.569,135.9639,80.0426,0.1951,579,1531920
Full,60,Full 60,A,19.6818,1.678,2.5749,32.0575,36.8696,11.729,234.6373,108.7564,749.7166,1.3965,3.8512,1.0544,1.1638,191.9939,146.4562,75.1935,0.243,682,1302900
Full,60,Full 60,A,23.4995,1.5673,1.0346,34.1214,35.8896,14.9934,127.7425,126.8651,589.2669,1.4404,2.9099,1.0584,1.1448,183.5619,145.6723,77.9495,0.2157,637,1386780
Full,60,Full 60,A,38.4309,1.5304,4.3793,48.2199,39.8873,25.1114,584.7214,134.4296,1140.7469,1.5011,5.2323,1.0583,1.1968,151.3369,126.1477,80.8318,0.1878,622,1959780
Full,60,Full 60,A,30.4236,1.4714,4.5157,41.1382,38.0485,20.6771,604.9395,121.077,1289.3293,1.4271,5.948,1.0518,1.2053,176.8676,131.9162,79.4509,0.2012,598,1671960
Full,60,Full 60,A,25.2533,1.8011,4.9036,35.2286,35.7189,14.0213,513.5905,106.1614,1237.6964,1.3534,4.4123,1.0497,1.1725,182.4645,136.0621,78.8267,0.207,732,1431780
Full,60,Full 60,A,44.9741,1.4812,18.6446,57.1677,43.6497,30.3632,3365.9357,116.4997,2723.1912,1.4532,12.4278,1.0491,1.2621,152.1219,122.7223,80.6141,0.1903,602,2323440
Full,60,Full 60,A,28.1773,1.8724,3.1666,43.3541,41.4846,15.0486,479.7896,102.1243,1064.7035,1.3942,5.6355,1.05,1.2073,169.9053,129.82,76.7219,0.2285,761,1762020
Full,60,Full 60,A,20.743,2.0742,3.9169,39.3769,43.759,10.0006,445.4686,94.365,996.1871,1.4263,5.6521,1.0565,1.2056,175.4383,131.969,71.3169,0.2821,843,1600380
Full,60,Full 60,A,17.5418,2.5072,0.7768,39.4995,47.7766,6.9965,66.3141,94.3891,407.9423,1.4334,3.1009,1.058,1.1594,176.1397,136.6923,65.9841,0.3354,1019,1605360
Full,60,Full 60,A,26.0984,1.8896,1.5846,41.7361,41.625,13.8113,214.2679,113.1072,717.9635,1.433,4.0612,1.0557,1.1753,170.2832,132.5667,75.7009,0.2385,768,1696260
Full,60,Full 60,A,25.1763,1.8035,2.2304,36.9352,37.4467,13.9595,255.881,112.7217,820.3501,1.3871,3.7163,1.0512,1.1639,175.3592,136.8736,77.7346,0.218,733,1501140
Full,60,Full 60,A,58.9879,0.6668,31.5981,43.949,29.5783,88.4657,8557.3327,133.5896,4730.7125,1.4063,14.6667,1.046,1.2817,152.0347,121.2311,88.5187,0.1593,271,1786200
Full,60,Full 60,A,50.1692,0.748,17.1149,47.808,34.5798,67.0725,3465.5661,142.9673,2776.7459,1.5451,10.8743,1.0461,1.2691,158.3367,121.3291,85.4694,0.1418,304,1943040
Full,60,Full 60,A,49.6244,0.9079,27.2437,50.0815,36.3755,54.6576,7424.4926,105.3589,4253.5518,1.3913,17.9543,1.0442,1.3065,172.6818,121.6666,84.612,0.1503,369,2035440
Full,60,Full 60,A,23.0734,1.4418,4.5041,33.3965,35.613,16.0028,666.4556,96.5493,1232.1653,1.3855,6.1862,1.0476,1.219,216.9321,127.8136,77.9205,0.2159,586,1357320
Full,60,Full 60,A,32.5539,1.496,3.9222,42.3989,37.987,21.7611,647.4584,119.7283,1266.8746,1.4391,5.7322,1.0541,1.2055,178.0611,134.4983,80.1548,0.1942,608,1723200
Full,60,Full 60,A,32.5875,1.5255,3.9142,42.269,37.8724,21.3619,680.0355,118.4939,1304.4303,1.4304,5.787,1.0539,1.2056,177.0916,133.3646,80.2351,0.1934,620,1717920
Full,60,Full 60,A,22.7298,1.6067,6.3891,33.6977,36.1153,14.147,892.1257,107.458,1244.8104,1.3841,5.833,1.0536,1.1911,208.0784,149.1804,77.4112,0.221,653,1369560
Full,60,Full 60,A,14.3318,1.4492,2.2862,25.1618,33.7294,9.8893,195.9453,105.6865,572.598,1.3754,3.4266,1.0546,1.1468,223.7023,175.6871,73.4209,0.26,589,1022640
Full,60,Full 60,A,59.6664,0.7603,51.799,46.8602,31.2865,78.4788,18306.1469,107.5931,5981.4307,1.3898,22.2202,1.0476,1.3144,143.5516,120.6311,87.924,0.1726,309,1904520
Full,60,Full 60,A,48.7174,1.2499,11.8357,45.5847,33.5468,38.9764,2206.0557,130.099,2473.8306,1.4156,7.7284,1.0501,1.2297,163.3012,124.0846,85.6664,0.1397,508,1852680
Full,60,Full 60,A,50.4659,1.2819,35.3237,49.2636,35.6632,39.3678,10161.7323,102.305,5185.01,1.3417,18.5954,1.0436,1.2901,155.2398,122.9343,85.0397,0.1479,521,2002200
Full,60,Full 60,A,49.7945,1.0949,28.0471,46.3775,33.8653,45.4781,6772.9357,111.8415,4077.8864,1.3669,14.121,1.0437,1.2748,166.7782,124.7263,85.6927,0.1394,445,1884900
Full,60,Full 60,A,58.2554,0.8095,52.4173,46.5679,31.5341,71.965,19177.5037,103.7442,6712.991,1.349,23.7185,1.043,1.3199,155.448,121.9905,87.7015,0.1659,329,1892640
Full,60,Full 60,A,18.3718,1.5845,2.7361,29.2113,34.9031,11.5943,359.5213,102.804,815.9234,1.3904,4.1915,1.0555,1.1728,218.6248,150.6204,75.6834,0.2379,644,1187220
Full,60,Full 60,A,10.9384,1.0063,2.1675,16.5019,25.5067,10.8695,235.2912,108.9703,568.4875,1.3348,2.7553,1.0518,1.1262,292.0466,222.0202,76.9698,0.2233,409,670680
Full,60,Full 60,A,21.7147,1.6042,7.8417,33.4393,36.535,13.5359,2000.2458,92.2943,2114.1151,1.4089,9.8996,1.0562,1.2474,181.6456,129.499,76.6021,0.229,652,1359060
Full,60,Full 60,A,39.9111,0.8636,35.6904,42.1509,34.0541,46.2133,12983.113,90.3524,5851.973,1.38,25.0408,1.0479,1.3329,173.5463,124.6179,83.9396,0.1566,351,1713120
Full,60,Full 60,A,49.69,0.8538,17.4311,51.5415,37.4008,58.1997,4910.8575,111.797,4109.1724,1.4099,15.947,1.0421,1.3045,152.5079,120.9715,84.1991,0.1544,347,2094780
Full,60,Full 60,A,27.6883,1.587,5.2553,38.5783,37.6045,17.4469,992.5515,89.9963,1793.186,1.3293,8.1497,1.0406,1.2447,205.6373,126.6559,78.7069,0.2084,645,1567920
Full,60,Full 60,A,40.6781,1.4246,7.1455,52.8318,42.3124,28.5538,1115.2959,130.8349,1645.0231,1.5139,7.6779,1.0539,1.2351,162.9504,125.2923,80.2369,0.1939,579,2147220
Full,60,Full 60,A,32.5255,2.0028,7.5282,45.6083,40.901,16.2398,1040.1399,99.9781,1462.8526,1.381,6.961,1.0497,1.2144,161.0356,126.0928,78.6138,0.2097,814,1853640
Full,60,Full 60,A,52.3756,0.9768,22.542,43.577,31.0698,53.6191,5304.0712,115.9784,3576.3507,1.3683,11.8939,1.0439,1.2666,160.2852,121.7764,87.2053,0.1359,397,1771080
Full,60,Full 60,A,54.2234,1.0359,40.5285,44.6591,31.2505,52.3462,12501.1899,95.7291,5204.044,1.3164,18.6699,1.0422,1.2936,160.7656,122.0989,87.3652,0.1446,421,1815060
Full,60,Full 60,A,52.2888,0.8685,21.1593,43.8826,31.3045,60.2026,4844.718,129.1534,3730.259,1.4193,11.4056,1.0466,1.2677,151.0711,121.2388,87.1138,0.1365,353,1783500
Full,60,Full 60,A,76.2046,0.3346,73.8007,33.7154,20.3458,227.7318,29063.8183,114.1327,7359.4425,1.2837,18.5374,1.0336,1.2961,150.6785,120.1806,93.059,0.211,136,1370280
Full,60,Full 60,A,89.9961,0.1501,89.6684,22.41,12.8417,599.6184,36310.9068,175.2862,7614.6373,1.3544,12.339,1.0378,1.2547,132.8136,120.2249,95.9681,0.334,61,910800
Full,60,Full 60,A,34.6487,1.0014,23.3055,38.7126,33.7096,34.5998,6982.8344,88.3738,4802.0969,1.3255,18.9461,1.0421,1.3119,184.4327,124.1858,82.9371,0.1664,407,1573380
Full,60,Full 60,A,45.5277,1.0408,21.2186,56.0737,42.4626,43.7438,4571.0698,117.6487,3069.7338,1.4961,15.6352,1.0485,1.2959,160.1444,122.3257,81.2467,0.1839,423,2278980
Full,60,Full 60,A,36.2883,1.7469,12.8933,50.7798,43.0864,20.7725,2274.166,101.1103,2268.3655,1.4068,11.1069,1.0497,1.2588,158.2784,123.8804,78.7029,0.2091,710,2063820
Full,60,Full 60,A,35.0252,1.5501,13.5718,41.519,35.9749,22.5954,2364.8818,113.4907,2541.0954,1.4182,7.8557,1.0522,1.2239,166.4453,127.8861,81.8952,0.1769,630,1687440
Full,60,Full 60,A,46.6695,0.9867,31.3244,42.9112,32.1978,47.3009,8659.6084,123.8572,4409.2572,1.4623,14.2769,1.055,1.2733,163.0103,122.8869,85.9446,0.1368,401,1744020
Full,60,Full 60,A,44.3745,0.9276,30.7593,39.7504,30.6763,47.838,8757.7845,135.0001,4802.0684,1.4628,13.6512,1.055,1.2689,162.3315,124.4398,86.2836,0.1333,377,1615560
Full,60,Full 60,A,71.6766,0.4232,69.7102,36.1764,22.3357,169.3674,27557.9928,110.0169,7491.3891,1.3161,19.7886,1.0432,1.3041,155.0805,120.5732,92.1472,0.1895,172,1470300
Full,60,Full 60,A,58.2483,0.7824,46.2541,40.7868,27.7524,74.4453,15051.1903,111.5737,6074.1684,1.3488,17.6017,1.0446,1.2914,157.2355,120.9113,89.175,0.1453,318,1657680
Full,60,Full 60,A,41.6826,1.3754,10.965,43.0898,34.5138,30.3057,2228.0408,97.0269,2167.9992,1.3448,9.256,1.0422,1.2496,171.4722,123.3063,84.0845,0.1553,559,1751280
Full,60,Full 60,A,39.7197,2.0053,8.452,66.9008,53.9057,19.8075,1708.8394,92.849,2132.3998,1.4501,13.1905,1.0505,1.2842,146.7813,122.4306,74.515,0.2513,815,2719020
Full,60,Full 60,A,40.5152,1.4468,6.8497,47.2337,38.0724,28.0041,1213.9109,118.4314,1725.0626,1.4086,7.3973,1.0484,1.2251,166.0906,124.9799,82.1874,0.1743,588,1919700
Full,60,Full 60,A,30.2659,0.7012,26.3189,28.5469,26.7405,43.1608,9328.3406,95.3384,5350.4764,1.3501,18.5016,1.0467,1.3063,232.5622,124.4459,85.522,0.1401,285,1160220
Full,60,Full 60,A,60.8268,0.8685,31.7682,56.0132,36.9429,70.0327,10785.8807,102.27,5655.096,1.3896,21.0713,1.0431,1.3231,146.1102,120.5401,85.8783,0.213,353,2276520
Full,60,Full 60,A,55.5573,1.0629,18.3638,59.7969,41.0958,52.2683,4817.5051,105.4558,3509.9451,1.4049,16.177,1.044,1.3041,144.2784,120.8459,83.5871,0.1998,432,2430300
Full,60,Full 60,A,14.9226,1.6436,1.5342,25.7966,34.1962,9.0792,132.2004,102.1932,547.8486,1.3687,2.7975,1.0544,1.1386,198.1687,158.821,73.6125,0.2582,668,1048440
Full,60,Full 60,A,68.0228,0.5856,45.2222,34.1612,21.5892,116.1605,13673.2839,115.3371,4983.6103,1.3169,13.1424,1.0404,1.2633,159.4498,120.5918,92.1987,0.158,238,1388400
Full,60,Full 60,A,66.4018,0.8169,47.9955,40.6657,25.9453,81.2873,14595.309,112.2113,5380.002,1.3715,14.6365,1.0465,1.2786,145.1354,120.4552,90.5169,0.1799,332,1652760
Full,60,Full 60,A,71.4215,0.6373,65.2671,42.1524,25.8979,112.0754,24294.1211,96.2189,6785.6541,1.3122,20.8806,1.0396,1.3069,143.4598,120.2984,90.8783,0.2188,259,1713180
Full,60,Full 60,A,6.5715,3.3659,0.1081,23.777,46.8902,1.9524,6.5096,57.0244,114.4226,1.2322,1.6369,1.0449,1.0891,193.2808,173.0853,45.3296,0.5414,1368,966360
Full,60,Full 60,A,15.6604,0.8489,3.3376,23.0773,29.9925,18.4487,593.3186,108.0433,1461.7916,1.4218,6.7936,1.0482,1.23,254.3947,137.946,77.4378,0.2198,345,937920
Full,60,Full 60,A,40.1361,2.1529,12.616,59.7438,48.2042,18.6427,2151.1992,95.2553,2138.222,1.4008,11.7651,1.051,1.2624,154.5133,123.034,77.3404,0.2229,875,2428140
Full,60,Full 60,A,58.3909,1.1589,11.259,63.0433,42.3268,50.3855,2864.1066,122.338,2540.5589,1.4948,11.7005,1.0494,1.2778,141.1316,120.8297,83.4984,0.2257,471,2562240
Full,60,Full 60,A,31.552,1.6018,3.1914,38.8662,35.2778,19.6982,426.5008,123.7418,949.3559,1.4231,3.9855,1.0554,1.1715,173.8064,133.0563,81.2821,0.1828,651,1579620
Full,60,Full 60,A,48.8334,0.9842,8.9171,39.2205,28.9809,49.6179,1907.2941,147.9308,2137.0011,1.4585,6.063,1.0539,1.2057,161.433,122.9365,87.6467,0.1198,400,1594020
Full,60,Full 60,A,57.0738,0.7726,47.7696,44.7432,30.4921,73.8734,16289.4535,122.4146,6248.7532,1.4453,19.6908,1.0521,1.303,152.7828,121.5423,87.9799,0.1543,314,1818480
Full,60,Full 60,A,53.9107,1.1343,37.0846,47.2293,32.9453,47.5286,10876.0871,109.2101,4636.3119,1.3984,16.2535,1.0503,1.288,153.7789,121.8327,86.6298,0.1514,461,1919520
Full,60,Full 60,A,75.0168,0.6127,72.4543,36.9307,22.1938,122.4448,28443.7517,94.181,6989.361,1.318,18.5535,1.0421,1.2971,143.5957,120.2812,92.3611,0.2187,249,1500960
Full,60,Full 60,A,15.4611,2.4014,1.5412,38.9444,50.083,6.4383,168.3294,81.9598,677.5414,1.4034,5.2066,1.0515,1.2059,186.0604,131.8218,61.9822,0.3754,976,1582800
Full,60,Full 60,A,29.3748,1.09,7.6584,43.5312,40.8247,26.9496,1227.9414,139.7047,1684.4591,1.608,8.9017,1.063,1.2501,175.0569,125.8513,77.5337,0.2204,443,1769220
Full,60,Full 60,A,42.8793,1.9192,22.9397,48.5565,37.9138,22.3426,5419.5461,85.5221,3254.5215,1.3343,13.0701,1.0462,1.2691,166.2147,124.2037,82.7305,0.1689,780,1973460
Full,60,Full 60,A,43.7163,1.1983,15.7596,45.4017,35.227,36.4834,2899.977,118.1994,2528.9674,1.4183,9.9869,1.0492,1.2484,171.9204,125.1565,84.1188,0.155,487,1845240
Full,60,Full 60,A,36.3405,1.5993,8.6168,47.8375,40.5493,22.7226,1118.0648,130.7205,1830.5284,1.4802,6.8937,1.0583,1.2159,160.021,126.6834,79.9364,0.1967,650,1944240
Full,60,Full 60,A,36.2271,1.6387,14.1351,40.9182,34.8494,22.1076,2510.4591,105.3975,2017.0632,1.4035,7.4409,1.0516,1.2211,161.1937,125.5308,82.7453,0.1684,666,1663020
Full,60,Full 60,A,48.9743,1.3754,26.1205,46.8233,34.3673,35.6072,5873.7233,111.7688,3271.4972,1.4133,11.1457,1.0489,1.2508,149.1605,122.2099,85.3617,0.1427,559,1903020
Full,60,Full 60,A,22.8857,2.5835,2.6307,39.5512,42.1366,8.8584,233.0762,88.5194,730.0364,1.3261,3.7403,1.0469,1.1629,186.0122,134.4381,73.7431,0.2579,1050,1607460
Full,60,Full 60,A,54.6468,1.2499,36.1031,41.8615,29.3239,43.7202,9993.2393,100.1916,4156.5953,1.3397,12.5969,1.044,1.2642,174.1065,122.0287,88.1885,0.1372,508,1701360
Full,60,Full 60,A,5.4466,3.1789,0.0859,20.9175,45.3439,1.7133,6.7545,53.4216,117.6389,1.2139,1.7137,1.041,1.0932,208.0184,181.8398,42.1125,0.5734,1292,850140
Full,60,Full 60,A,17.2947,1.5895,3.3978,23.5792,28.9857,10.8808,362.7322,94.4324,708.874,1.2626,3.0666,1.0401,1.137,237.3805,154.4989,79.2164,0.2021,646,958320
Full,60,Full 60,A,75.3765,0.465,71.9609,34.8787,21.0291,162.0895,27925.6404,118.1676,6910.7471,1.3376,17.3852,1.0395,1.2894,151.9963,120.5219,92.7841,0.2101,189,1417560
Full,60,Full 60,A,37.252,1.3705,9.8498,38.0498,32.0535,27.1816,1543.3564,119.9209,1810.2764,1.3638,6.1299,1.0467,1.2045,181.0209,126.5419,84.3375,0.1525,557,1546440
Full,60,Full 60,A,11.9384,2.9772,1.8539,29.9464,43.8927,4.01,157.824,64.3545,466.1187,1.2806,3.4411,1.0455,1.1556,187.6103,139.7048,62.0604,0.374,1210,1217100
Full,60,Full 60,A,13.1794,3.0904,0.8344,33.085,46.2992,4.2647,60.111,72.6667,329.9205,1.3119,2.6514,1.0494,1.1389,179.8479,141.878,62.0371,0.3745,1256,1344660
Full,60,Full 60,A,33.4937,2.1554,14.4018,50.9791,44.8252,15.5396,2716.0384,86.3516,2365.0712,1.3417,12.9795,1.0453,1.2601,163.83,126.6985,76.9431,0.2266,876,2071920
Full,60,Full 60,A,34.0986,1.7371,10.2997,42.8329,37.4911,19.6297,1673.704,103.8403,1847.4155,1.3672,7.971,1.048,1.2215,179.7353,127.3202,80.8629,0.1872,706,1740840
Full,60,Full 60,A,27.489,2.4556,3.0905,49.1677,47.5864,11.1946,317.274,95.9212,903.7326,1.4052,5.1388,1.0525,1.199,161.449,125.5714,72.9361,0.2665,998,1998300
Full,60,Full 60,A,34.9667,1.9708,7.4006,46.5325,40.2965,17.742,1193.7172,98.3293,1699.1377,1.3827,7.2894,1.0494,1.2256,166.4686,126.2617,79.6864,0.1991,801,1891200
Full,60,Full 60,A,8.3617,2.8714,0.5908,23.0109,40.359,2.9121,39.9489,59.2542,236.252,1.2299,2.1274,1.0418,1.1131,209.7314,163.3842,58.3157,0.4108,1167,935220
Full,60,Full 60,A,42.6906,2.0225,7.9454,52.8318,41.325,21.1077,1824.2519,93.139,1990.7382,1.3753,8.8611,1.0479,1.2453,153.971,122.7847,81.1364,0.1849,822,2147220
Full,60,Full 60,A,61.2209,0.6742,42.4789,46.0261,30.4544,90.8093,12750.7714,126.1221,5201.4099,1.3938,17.5899,1.0407,1.2962,153.2472,120.9717,88.4115,0.1766,274,1870620
Full,60,Full 60,A,9.7771,3.7276,0.5412,30.4838,49.2844,2.6229,30.6728,60.1971,222.9442,1.2557,2.2036,1.0445,1.118,178.7991,148.0885,52.8945,0.466,1515,1238940
Full,60,Full 60,A,14.2042,2.9747,1.6927,30.6698,41.311,4.775,185.7838,66.8651,556.3172,1.2773,3.2875,1.0458,1.1538,184.8896,139.5166,67.283,0.3218,1209,1246500
Full,60,Full 60,A,13.7126,3.3389,1.1285,35.0204,48.004,4.107,98.0485,68.5952,398.403,1.2895,3.1086,1.0466,1.1481,180.1699,143.4612,61.3946,0.3811,1357,1423320
Full,60,Full 60,A,17.7314,2.6819,0.7343,37.756,45.5936,6.6114,83.728,82.7102,424.959,1.3478,3.1411,1.0511,1.1547,181.9803,141.8295,67.7715,0.3175,1090,1534500
Full,60,Full 60,A,15.8376,2.5367,0.8654,35.3305,45.0672,6.2433,87.8719,83.0877,451.3684,1.3722,3.2027,1.053,1.1593,157.7566,131.0374,66.2248,0.3328,1031,1435920
Full,60,Full 60,A,23.4286,3.2626,2.1498,48.5683,50.9969,7.181,217.71,79.3244,675.2465,1.3516,4.5076,1.0494,1.1846,164.8546,130.7826,68.5728,0.31,1326,1973940
Full,60,Full 60,A,19.0202,3.4299,2.2844,45.254,52.6054,5.5454,166.9084,76.4135,511.6073,1.3582,4.0511,1.0524,1.1719,150.9224,128.1486,63.9873,0.3557,1394,1839240
Full,60,Full 60,A,70.5091,0.6102,63.7383,41.0201,25.3133,115.5513,23467.5014,106.4242,6499.6483,1.3488,19.4456,1.0432,1.3019,154.68,120.5179,91.0166,0.206,248,1667160
Full,60,Full 60,A,53.5475,1.6239,43.9369,62.8381,43.9106,32.9744,14692.339,79.2376,5729.87,1.305,28.5296,1.0401,1.3342,138.4,121.0043,82.1316,0.2009,660,2553900
Full,60,Full 60,A,67.1184,0.4158,14.2848,43.202,27.4011,161.4121,3897.4071,231.9929,2963.9416,1.6802,8.8989,1.0576,1.2445,145.3019,121.6017,90.0375,0.1956,169,1755840
Full,60,Full 60,A,71.4587,0.1698,33.4157,31.6014,19.6854,420.9078,11676.5297,292.7904,5053.7709,1.7081,11.461,1.0566,1.2588,152.3218,122.9011,93.0579,0.1647,69,1284360
Full,60,Full 60,A,73.0345,0.4724,26.3428,40.1018,24.5357,154.5994,8855.8316,158.6503,4516.8747,1.4667,11.8501,1.0491,1.2659,142.8907,120.5106,91.4448,0.2219,192,1629840
Full,60,Full 60,A,81.599,0.1895,80.971,33.4231,19.5477,430.7003,32655.9565,160.7008,7740.1139,1.3822,18.7796,1.0346,1.2983,132.7112,120.1019,93.5493,0.271,77,1358400
Full,60,Full 60,A,74.4668,0.251,56.7345,39.8302,24.1017,296.7176,18440.1494,178.328,5783.3454,1.5167,17.0253,1.045,1.2935,140.4513,120.2384,91.6861,0.232,102,1618800
Full,60,Full 60,A,73.6262,0.278,40.0599,43.6744,26.4645,264.8103,14183.3298,170.3743,5570.0385,1.5262,17.3436,1.0415,1.3006,147.0011,120.18,90.8146,0.2463,113,1775040
Full,60,Full 60,A,81.5069,0.1845,67.7703,36.6296,21.3114,441.6864,23752.1674,213.4427,6680.8437,1.522,16.952,1.0397,1.2902,136.1174,120.1662,92.9709,0.2948,75,1488720
Full,60,Full 60,A,78.7672,0.1575,78.0391,23.3814,14.1524,500.2031,31424.1048,190.8355,7586.8881,1.3774,13.277,1.0401,1.2634,198.8407,120.3488,95.2494,0.1635,64,950280
Full,60,Full 60,A,79.614,0.1919,78.3137,37.3013,21.9217,414.8354,31313.0937,160.0798,7569.2342,1.4114,20.7981,1.0327,1.3086,149.039,120.7065,92.6831,0.2723,78,1516020
Full,60,Full 60,A,79.1481,0.219,33.7018,40.2908,23.7776,361.436,11836.562,287.3591,5462.2368,1.7459,13.3444,1.0601,1.2747,138.3455,120.0675,92.0435,0.2888,89,1637520
Full,60,Full 60,A,72.4144,0.1132,70.9662,20.7285,13.0979,639.8061,28267.0498,269.4441,7192.3109,1.5149,11.9465,1.0494,1.2531,321.9202,125.3203,95.4179,0.1109,46,842460
Full,60,Full 60,A,78.3172,0.2411,78.0036,43.1119,25.437,324.7971,31575.7619,124.7821,7855.4696,1.3578,24.6886,1.0319,1.327,151.3998,120.1265,91.4411,0.2965,98,1752180
Full,60,Full 60,A,84.9809,0.0738,84.8852,26.5303,15.521,1151.28,34460.6881,297.1563,7600.0628,1.5911,15.3052,1.0396,1.2775,143.3328,120.0194,94.9849,0.2651,30,1078260
Full,60,Full 60,A,82.7514,0.1255,48.1673,35.4722,20.5588,659.4565,15333.1325,348.9329,5634.2708,1.7871,12.9111,1.0428,1.2702,136.532,120.03,93.2661,0.3069,51,1441680
Full,60,Full 60,A,82.0233,0.1206,53.5927,29.5346,17.3727,680.3339,16216.6139,379.7762,5318.0552,1.7552,10.3032,1.0434,1.2476,138.9649,120.1075,94.2873,0.2453,49,1200360
Full,60,Full 60,A,83.2146,0.1304,50.3339,27.6907,16.2313,638.1238,15871.2235,353.6652,5743.8691,1.6128,10.0315,1.0384,1.2432,141.9804,120.0351,94.6959,0.2464,53,1125420
Full,60,Full 60,A,85.2005,0.1009,85.1066,38.5,21.9694,844.5776,34551.4048,230.1151,7797.4968,1.6171,21.7468,1.0341,1.3131,128.6038,120.0043,92.9082,0.3891,41,1564740
Full,60,Full 60,A,82.0224,0.1353,81.7735,31.6102,18.4663,606.1091,33134.0271,187.2796,7689.2787,1.4471,18.0301,1.0343,1.2944,139.3517,120.1076,93.9276,0.2616,55,1284720
Full,60,Full 60,A,87.9137,0.1304,87.8038,32.0029,18.1442,674.1577,35641.1377,184.687,7804.2907,1.4008,17.8728,1.027,1.2927,142.6323,120.0222,94.2323,0.3958,53,1300680
Full,60,Full 60,A,84.7408,0.1476,84.4485,36.3388,20.7916,574.014,34203.6856,179.6845,7652.1966,1.4939,20.2352,1.0384,1.3057,131.3248,120.0209,93.2737,0.355,60,1476900
Full,60,Full 60,A,59.3945,0.5241,51.8025,39.9202,26.9131,113.3307,18421.2674,132.2395,6556.6706,1.4423,19.6021,1.0495,1.3029,152.0891,120.924,89.6046,0.1462,213,1622460
Full,60,Full 60,A,70.8006,0.096,70.4852,33.3301,20.871,737.8246,28519.6012,260.8686,8005.5947,1.6268,20.4431,1.0335,1.3095,144.4415,120.0372,92.6105,0.1703,39,1354620
Full,60,Full 60,A,78.7167,0.2264,59.6062,34.6956,20.4824,347.7443,19934.582,192.2034,6032.9083,1.5086,14.6851,1.0471,1.279,149.6047,120.2119,93.1201,0.2417,92,1410120
Full,120,Full 120,B,10.3033,1.1786,0.8858,16.4783,26.2315,8.7422,56.1154,112.011,305.6783,1.188,1.824,1.0312,1.083,366.4283,323.0883,51.2895,0.4774,479,669720
Full,120,Full 120,B,20.0609,1.1835,5.1198,26.3104,30.0265,16.9507,600.9001,138.8924,1132.59,1.2927,4.4338,1.0393,1.1547,314.8074,264.987,59.9611,0.3923,481,1069320
Full,120,Full 120,B,8.0003,0.9596,0.6236,12.7226,22.75,8.3372,67.9848,110.2422,431.7951,1.1566,1.8208,1.0298,1.0786,437.5236,380.0127,51.6386,0.4724,390,517080
Full,120,Full 120,B,11.1926,0.903,1.357,15.0286,22.7345,12.395,140.5525,127.0244,651.5033,1.1989,2.3253,1.0308,1.1069,401.5561,310.7427,59.3384,0.3958,367,610800
Full,120,Full 120,B,27.5546,1.1884,3.2774,34.0372,33.0169,23.1861,301.4322,168.9038,823.744,1.3768,3.5987,1.0458,1.1488,285.8109,253.3123,62.4277,0.3685,483,1383360
Full,120,Full 120,B,18.3815,0.8021,1.559,21.5272,25.7379,22.9163,256.0064,166.1915,920.5083,1.3553,3.2913,1.0434,1.1486,327.4254,267.5016,64.0324,0.3506,326,874920
Full,120,Full 120,B,28.9576,0.8046,8.1314,27.2256,25.9171,35.9912,1187.6406,174.6193,1793.7728,1.3495,4.9787,1.0408,1.1766,312.8804,256.4023,71.3018,0.279,327,1106520
Full,120,Full 120,B,19.5755,0.9374,2.5935,23.092,26.7919,20.8819,257.099,162.1378,794.6544,1.328,2.9795,1.0423,1.1344,339.6431,271.7966,63.8733,0.3525,381,938520
Full,120,Full 120,B,23.3844,0.9497,1.442,25.6844,27.1411,24.6218,166.0285,176.2008,669.1107,1.3441,2.5653,1.043,1.1239,314.5148,264.1946,66.4848,0.3268,386,1043880
Full,120,Full 120,B,39.2007,0.7627,7.0295,35.3098,29.09,51.3941,936.1177,212.6141,1406.483,1.473,4.9023,1.0492,1.1812,273.8701,245.2396,72.2614,0.2704,310,1435080
